dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
19999,15000,3999,3000,3.60
5999,5000,1999,1000,3.25
9999,8000,4999,4000,3.04
5999,5000,2999,2000,3.02
2999,2000,999,999,3.28
7999,6000,999,999,3.32
4999,4000,999,999,3.07
2999,2000,1999,1000,3.30
4999,4000,999,999,3.18
9999,8000,1999,1000,3.58
14999,10000,0,0,3.60
7999,6000,1999,1000,3.26
3999,3000,1999,1000,3.20
4999,4000,0,0,3.22
14999,10000,0,0,3.49
9999,8000,1999,1000,3.04
3999,3000,0,0,3.30
3999,3000,1999,1000,3.09
7999,6000,0,0,3.15
7999,6000,999,999,3.43
3999,3000,2999,2000,3.25
3999,3000,999,999,3.05
7999,6000,0,0,3.38
14999,10000,3999,3000,3.08
4999,4000,2999,2000,3.09
19999,15000,7999,6000,3.09
3999,3000,0,0,3.38
3999,3000,1999,1000,3.14
7999,6000,0,0,3.06
4999,4000,1999,1000,3.57
5999,5000,0,0,3.02
5999,5000,2999,2000,3.08
4999,4000,999,999,3.23
3999,3000,1999,1000,3.16
4999,4000,1999,1000,3.47
3999,3000,1999,1000,3.08
4999,4000,1999,1000,3.18
19999,15000,9999,8000,3.02
9999,8000,1999,1000,3.58
3999,3000,999,999,3.08
3999,3000,1999,1000,3.34
5999,5000,0,0,3.26
19999,15000,7999,6000,3.40
3999,3000,1999,1000,3.18
19999,15000,0,0,3.12
3999,3000,1999,1000,3.37
2999,2000,999,999,3.32
3999,3000,1999,1000,3.08
3999,3000,1999,1000,3.21
3999,3000,999,999,3.09
14999,10000,1999,1000,3.09
14999,10000,14999,10000,3.52
3999,3000,1999,1000,3.09
7999,6000,1999,1000,3.52
3999,3000,1999,1000,3.08
14999,10000,0,0,3.29
7999,6000,999,999,3.47
4999,4000,1999,1000,3.36
2999,2000,999,999,3.44
14999,10000,3999,3000,3.64
5999,5000,0,0,3.26
3999,3000,0,0,3.26
4999,4000,1999,1000,3.08
3999,3000,0,0,3.27
2999,2000,999,999,3.05
3999,3000,1999,1000,3.09
5999,5000,0,0,3.22
4999,4000,1999,1000,3.27
7999,6000,0,0,3.08
4999,4000,999,999,3.24
3999,3000,1999,1000,3.09
3999,3000,1999,1000,3.18
4999,4000,0,0,3.06
3999,3000,999,999,3.53
7999,6000,1999,1000,3.22
4999,4000,999,999,3.22
5999,5000,0,0,3.14
3999,3000,1999,1000,3.45
5999,5000,0,0,3.37
14999,10000,5999,5000,3.65
14999,10000,5999,5000,3.62
4999,4000,999,999,3.37
2999,2000,1999,1000,3.24
4999,4000,999,999,3.26
4999,4000,1999,1000,3.30
3999,3000,1999,1000,3.02
19999,15000,0,0,3.31
4999,4000,999,999,3.14
3999,3000,1999,1000,3.56
3999,3000,0,0,3.32
7999,6000,0,0,3.51
4999,4000,0,0,3.49
4999,4000,1999,1000,3.19
4999,4000,1999,1000,3.14
3999,3000,0,0,3.37
2999,2000,999,999,3.37
19999,15000,19999,15000,3.09
14999,10000,3999,3000,3.02
2999,2000,1999,1000,3.45
4999,4000,999,999,3.52
29999,20000,5999,5000,3.49
14999,10000,4999,4000,3.15
5999,5000,1999,1000,3.21
3999,3000,0,0,3.09
3999,3000,0,0,3.01
3999,3000,1999,1000,3.14
19999,15000,3999,3000,3.09
3999,3000,0,0,3.07
14999,10000,3999,3000,3.08
14999,10000,2999,2000,3.08
3999,3000,0,0,3.05
3999,3000,0,0,3.15
4999,4000,999,999,3.08
3999,3000,999,999,3.38
9999,8000,0,0,3.14
3999,3000,1999,1000,3.30
2999,2000,1999,1000,3.01
3999,3000,999,999,3.46
5999,5000,2999,2000,3.06
3999,3000,1999,1000,3.30
3999,3000,1999,1000,3.15
7999,6000,999,999,3.25
0,0,999,999,3.00
3999,3000,999,999,3.24
3999,3000,1999,1000,3.09
14999,10000,0,0,3.10
4999,4000,0,0,3.08
2999,2000,999,999,3.29
9999,8000,0,0,3.33
9999,8000,1999,1000,3.06
5999,5000,2999,2000,3.08
5999,5000,0,0,3.04
3999,3000,0,0,3.01
3999,3000,0,0,3.43
3999,3000,999,999,3.09
2999,2000,1999,1000,3.30
14999,10000,0,0,3.34
2999,2000,999,999,3.41
3999,3000,0,0,3.29
2999,2000,1999,1000,3.18
14999,10000,3999,3000,3.09
3999,3000,1999,1000,3.43
9999,8000,3999,3000,3.06
4999,4000,1999,1000,3.18
7999,6000,1999,1000,3.24
4999,4000,0,0,3.21
4999,4000,999,999,3.06
14999,10000,0,0,3.62
9999,8000,1999,1000,3.51
19999,15000,1999,1000,3.44
2999,2000,0,0,3.08
3999,3000,0,0,3.37
4999,4000,1999,1000,3.01
4999,4000,1999,1000,3.22
5999,5000,1999,1000,3.25
2999,2000,999,999,3.56
5999,5000,999,999,3.59
5999,5000,0,0,3.37
14999,10000,0,0,3.54
3999,3000,2999,2000,3.18
14999,10000,0,0,3.07
2999,2000,1999,1000,3.06
9999,8000,1999,1000,3.30
3999,3000,999,999,3.15
3999,3000,0,0,3.06
7999,6000,0,0,3.09
3999,3000,0,0,3.17
5999,5000,2999,2000,3.06
2999,2000,1999,1000,3.41
3999,3000,1999,1000,3.02
9999,8000,0,0,3.06
3999,3000,1999,1000,3.07
2999,2000,1999,1000,3.22
3999,3000,999,999,3.14
3999,3000,1999,1000,3.04
1999,1000,1999,1000,3.01
14999,10000,1999,1000,3.37
14999,10000,9999,8000,3.33
29999,20000,19999,15000,3.08
7999,6000,1999,1000,3.57
19999,15000,19999,15000,3.53
5999,5000,0,0,3.13
3999,3000,999,999,3.42
3999,3000,0,0,3.44
4999,4000,0,0,3.29
2999,2000,1999,1000,3.21
14999,10000,0,0,3.41
3999,3000,0,0,3.08
4999,4000,1999,1000,3.14
3999,3000,0,0,3.04
3999,3000,1999,1000,3.43
5999,5000,999,999,3.35
7999,6000,0,0,3.43
9999,8000,3999,3000,3.61
19999,15000,5999,5000,3.24
3999,3000,1999,1000,3.14
2999,2000,1999,1000,3.09
14999,10000,2999,2000,3.38
2999,2000,2999,2000,3.08
3999,3000,1999,1000,3.15
14999,10000,5999,5000,3.53
9999,8000,0,0,3.62
3999,3000,999,999,3.10
3999,3000,1999,1000,3.18
3999,3000,0,0,3.04
3999,3000,0,0,3.15
39999,30000,5999,5000,3.86
4999,4000,999,999,3.23
9999,8000,0,0,3.09
5999,5000,3999,3000,3.45
2999,2000,999,999,3.25
9999,8000,0,0,3.32
999,999,999,999,3.30
9999,8000,0,0,3.18
7999,6000,2999,2000,3.22
9999,8000,0,0,3.07
3999,3000,1999,1000,3.25
9999,8000,0,0,3.20
29999,20000,9999,8000,3.68
4999,4000,999,999,3.24
14999,10000,1999,1000,3.49
9999,8000,3999,3000,3.09
9999,8000,1999,1000,3.53
1999,1000,1999,1000,3.06
2999,2000,1999,1000,3.37
14999,10000,0,0,3.30
4999,4000,999,999,3.01
9999,8000,2999,2000,3.23
14999,10000,5999,5000,3.08
2999,2000,0,0,3.09
9999,8000,0,0,3.24
4999,4000,0,0,3.41
3999,3000,999,999,3.04
5999,5000,0,0,3.26
14999,10000,4999,4000,3.43
5999,5000,0,0,3.30
4999,4000,1999,1000,3.02
19999,15000,0,0,3.07
4999,4000,1999,1000,3.41
5999,5000,0,0,3.08
3999,3000,999,999,3.16
7999,6000,0,0,3.52
3999,3000,999,999,3.27
2999,2000,2999,2000,3.10
2999,2000,0,0,3.19
19999,15000,5999,5000,3.49
2999,2000,0,0,3.37
14999,10000,5999,5000,3.08
9999,8000,0,0,3.07
2999,2000,1999,1000,3.06
3999,3000,0,0,3.07
14999,10000,0,0,3.08
3999,3000,1999,1000,3.30
14999,10000,7999,6000,3.25
3999,3000,1999,1000,3.31
7999,6000,1999,1000,3.29
2999,2000,1999,1000,3.02
3999,3000,2999,2000,3.06
19999,15000,0,0,3.09
3999,3000,0,0,3.09
3999,3000,0,0,3.09
9999,8000,3999,3000,3.54
2999,2000,1999,1000,3.21
1999,1000,999,999,3.48
2999,2000,999,999,3.15
3999,3000,3999,3000,3.63
14999,10000,0,0,3.40
3999,3000,1999,1000,3.23
7999,6000,1999,1000,3.08
19999,15000,0,0,3.19
0,0,999,999,3.52
19999,15000,0,0,3.49
7999,6000,0,0,3.51
9999,8000,3999,3000,3.09
2999,2000,999,999,3.06
4999,4000,3999,3000,3.08
2999,2000,0,0,3.01
3999,3000,999,999,3.04
29999,20000,4999,4000,3.73
7999,6000,1999,1000,3.09
1999,1000,1999,1000,3.05
29999,20000,0,0,3.36
4999,4000,999,999,3.32
7999,6000,3999,3000,3.54
14999,10000,0,0,3.42
3999,3000,1999,1000,3.58
14999,10000,5999,5000,3.52
4999,4000,0,0,3.09
3999,3000,0,0,3.07
2999,2000,1999,1000,3.09
19999,15000,7999,6000,3.01
1999,1000,0,0,3.43
3999,3000,1999,1000,3.09
9999,8000,1999,1000,3.19
29999,20000,5999,5000,3.13
5999,5000,1999,1000,3.28
14999,10000,4999,4000,3.32
3999,3000,1999,1000,3.25
3999,3000,1999,1000,3.07
4999,4000,999,999,3.35
3999,3000,3999,3000,3.21
19999,15000,0,0,3.04
2999,2000,1999,1000,3.00
3999,3000,0,0,3.27
3999,3000,999,999,3.20
5999,5000,0,0,3.50
3999,3000,0,0,3.08
29999,20000,0,0,3.04
4999,4000,0,0,3.16
5999,5000,3999,3000,3.29
2999,2000,1999,1000,3.25
4999,4000,1999,1000,3.56
7999,6000,3999,3000,3.06
7999,6000,0,0,3.35
7999,6000,0,0,3.30
5999,5000,0,0,3.04
9999,8000,0,0,3.17
3999,3000,0,0,3.06
3999,3000,999,999,3.26
5999,5000,0,0,3.09
5999,5000,0,0,3.27
2999,2000,0,0,3.04
3999,3000,1999,1000,3.57
14999,10000,5999,5000,3.37
9999,8000,1999,1000,3.44
1999,1000,999,999,3.07
2999,2000,999,999,3.08
14999,10000,3999,3000,3.26
14999,10000,0,0,3.52
5999,5000,0,0,3.28
9999,8000,5999,5000,3.30
3999,3000,3999,3000,3.52
19999,15000,0,0,3.05
3999,3000,0,0,3.08
14999,10000,0,0,3.36
5999,5000,2999,2000,3.14
4999,4000,0,0,3.39
2999,2000,1999,1000,3.15
9999,8000,4999,4000,3.65
2999,2000,999,999,3.09
