dinner_max_price,dinner_start_price,lunch_max_price,lunch_start_price,rating
3999,3000,0,0,3.22
999,999,999,999,3.40
999,999,999,999,3.49
999,999,999,999,3.08
999,999,999,999,3.11
999,999,999,999,3.55
999,999,999,999,3.35
2999,2000,999,999,3.59
999,999,999,999,3.06
1999,1000,999,999,3.03
1999,1000,1999,1000,3.70
999,999,999,999,3.54
3999,3000,999,999,3.47
1999,1000,999,999,3.33
1999,1000,0,0,3.07
1999,1000,1999,1000,3.17
2999,2000,999,999,3.52
999,999,999,999,3.17
999,999,999,999,3.37
999,999,999,999,3.49
999,999,999,999,3.70
2999,2000,999,999,3.59
1999,1000,1999,1000,3.74
999,999,999,999,3.20
999,999,999,999,3.18
999,999,999,999,3.49
3999,3000,1999,1000,3.08
999,999,999,999,3.01
999,999,999,999,3.46
999,999,999,999,3.57
999,999,999,999,3.32
999,999,999,999,3.58
0,0,999,999,3.55
999,999,999,999,3.11
999,999,999,999,3.51
1999,1000,1999,1000,3.28
1999,1000,999,999,3.03
1999,1000,1999,1000,3.08
999,999,999,999,3.01
999,999,999,999,3.48
999,999,999,999,3.30
999,999,999,999,3.08
1999,1000,999,999,3.08
3999,3000,0,0,3.04
999,999,999,999,3.58
1999,1000,999,999,3.12
999,999,999,999,3.20
999,999,999,999,3.41
999,999,999,999,3.61
999,999,999,999,3.04
999,999,999,999,3.60
999,999,999,999,3.58
999,999,999,999,3.01
999,999,999,999,3.06
1999,1000,1999,1000,3.11
999,999,999,999,3.50
999,999,999,999,3.05
1999,1000,999,999,3.21
2999,2000,999,999,3.03
2999,2000,0,0,3.05
0,0,999,999,3.49
0,0,999,999,3.56
999,999,999,999,3.14
999,999,999,999,3.60
999,999,999,999,3.61
999,999,999,999,3.52
999,999,999,999,3.41
0,0,999,999,3.62
0,0,999,999,3.40
999,999,999,999,3.29
3999,3000,0,0,3.10
3999,3000,0,0,3.52
999,999,999,999,3.46
999,999,999,999,3.12
999,999,999,999,3.51
0,0,999,999,3.51
999,999,999,999,3.24
3999,3000,0,0,3.04
999,999,999,999,3.03
999,999,999,999,3.27
2999,2000,999,999,3.22
3999,3000,0,0,3.32
999,999,999,999,3.44
0,0,999,999,3.57
999,999,999,999,3.41
1999,1000,1999,1000,3.11
0,0,1999,1000,3.25
1999,1000,1999,1000,3.15
1999,1000,999,999,3.62
999,999,999,999,3.34
0,0,999,999,3.12
999,999,999,999,3.34
999,999,999,999,3.73
999,999,999,999,3.42
999,999,999,999,3.07
999,999,999,999,3.08
999,999,0,0,3.00
1999,1000,999,999,3.28
1999,1000,999,999,3.09
1999,1000,999,999,3.40
999,999,999,999,3.19
999,999,999,999,3.09
2999,2000,999,999,3.32
999,999,999,999,3.05
1999,1000,1999,1000,3.46
999,999,999,999,3.77
999,999,999,999,3.44
999,999,999,999,3.59
999,999,999,999,3.33
1999,1000,1999,1000,3.31
1999,1000,1999,1000,3.27
999,999,999,999,3.77
999,999,999,999,3.55
1999,1000,999,999,3.45
999,999,999,999,3.62
999,999,999,999,3.35
1999,1000,999,999,3.41
3999,3000,3999,3000,3.53
999,999,999,999,3.61
999,999,999,999,3.66
999,999,999,999,3.52
999,999,999,999,3.03
999,999,999,999,3.22
999,999,999,999,3.69
999,999,999,999,3.67
999,999,999,999,3.24
1999,1000,999,999,3.51
1999,1000,999,999,3.61
999,999,999,999,3.64
3999,3000,1999,1000,3.45
3999,3000,999,999,3.25
1999,1000,999,999,3.50
2999,2000,999,999,3.08
999,999,999,999,3.22
999,999,999,999,3.83
999,999,999,999,3.55
1999,1000,0,0,3.46
999,999,999,999,3.48
999,999,999,999,3.54
0,0,1999,1000,3.43
1999,1000,999,999,3.45
4999,4000,1999,1000,3.66
1999,1000,999,999,3.52
999,999,999,999,3.40
999,999,999,999,3.40
3999,3000,0,0,3.04
1999,1000,999,999,3.69
999,999,999,999,3.57
999,999,999,999,3.73
2999,2000,999,999,3.13
999,999,999,999,3.58
1999,1000,999,999,3.28
999,999,999,999,3.49
999,999,999,999,3.48
999,999,999,999,3.72
999,999,999,999,3.28
999,999,999,999,3.33
999,999,999,999,3.55
999,999,999,999,3.07
1999,1000,999,999,3.25
999,999,999,999,3.52
3999,3000,1999,1000,3.42
999,999,999,999,3.47
999,999,999,999,3.54
1999,1000,999,999,3.04
2999,2000,999,999,3.40
999,999,999,999,3.59
999,999,999,999,3.55
1999,1000,999,999,3.21
999,999,999,999,3.31
5999,5000,0,0,3.20
0,0,999,999,3.66
5999,5000,2999,2000,3.19
999,999,999,999,3.51
999,999,999,999,3.60
999,999,999,999,3.44
2999,2000,0,0,3.12
999,999,999,999,3.37
999,999,1999,1000,3.44
999,999,999,999,3.56
1999,1000,1999,1000,3.55
999,999,999,999,3.52
999,999,999,999,3.66
999,999,999,999,3.51
2999,2000,999,999,3.19
999,999,999,999,3.60
2999,2000,1999,1000,3.46
999,999,999,999,3.46
1999,1000,999,999,3.33
999,999,999,999,3.53
999,999,999,999,3.64
999,999,999,999,3.07
999,999,999,999,3.33
1999,1000,999,999,3.11
999,999,999,999,3.51
999,999,999,999,3.57
999,999,999,999,3.56
999,999,999,999,3.49
2999,2000,0,0,3.30
1999,1000,0,0,3.62
999,999,999,999,3.30
5999,5000,1999,1000,3.10
999,999,999,999,3.53
3999,3000,1999,1000,3.36
2999,2000,999,999,3.20
5999,5000,0,0,3.00
999,999,999,999,3.05
999,999,999,999,3.41
999,999,999,999,3.42
999,999,999,999,3.45
0,0,999,999,3.75
1999,1000,999,999,3.49
999,999,999,999,3.40
999,999,999,999,3.51
999,999,999,999,3.71
1999,1000,999,999,3.08
999,999,999,999,3.45
1999,1000,999,999,3.17
999,999,999,999,3.29
1999,1000,1999,1000,3.23
999,999,999,999,3.69
999,999,999,999,3.77
999,999,999,999,3.54
999,999,999,999,3.41
3999,3000,999,999,3.42
999,999,999,999,3.78
999,999,999,999,3.65
999,999,999,999,3.45
999,999,999,999,3.57
1999,1000,999,999,3.49
999,999,999,999,3.51
999,999,999,999,3.56
3999,3000,1999,1000,3.43
999,999,999,999,3.54
7999,6000,1999,1000,3.76
999,999,999,999,3.51
2999,2000,1999,1000,3.13
1999,1000,999,999,3.46
3999,3000,999,999,3.21
1999,1000,999,999,3.53
0,0,999,999,3.22
999,999,999,999,3.45
2999,2000,999,999,3.59
2999,2000,999,999,3.31
1999,1000,999,999,3.46
2999,2000,999,999,3.28
999,999,999,999,3.06
999,999,999,999,3.38
3999,3000,0,0,3.09
3999,3000,0,0,3.33
1999,1000,999,999,3.17
0,0,999,999,3.21
1999,1000,0,0,3.31
999,999,999,999,3.43
999,999,999,999,3.53
999,999,999,999,3.39
999,999,999,999,3.49
999,999,999,999,3.73
1999,1000,999,999,3.53
999,999,999,999,3.58
999,999,0,0,3.44
0,0,999,999,3.53
1999,1000,999,999,3.59
999,999,999,999,3.27
999,999,999,999,3.54
999,999,999,999,3.55
1999,1000,1999,1000,3.71
1999,1000,999,999,3.40
999,999,999,999,3.29
999,999,999,999,3.65
999,999,999,999,3.59
2999,2000,1999,1000,3.04
999,999,999,999,3.14
999,999,999,999,3.65
2999,2000,999,999,3.36
1999,1000,1999,1000,3.39
3999,3000,1999,1000,3.54
1999,1000,1999,1000,3.33
999,999,999,999,3.50
999,999,999,999,3.55
999,999,999,999,3.29
3999,3000,1999,1000,3.32
999,999,0,0,3.69
2999,2000,999,999,3.40
0,0,1999,1000,3.43
0,0,999,999,3.37
1999,1000,999,999,3.41
999,999,999,999,3.59
1999,1000,999,999,3.48
999,999,999,999,3.55
999,999,999,999,3.57
999,999,999,999,3.73
1999,1000,999,999,3.22
999,999,999,999,3.22
1999,1000,999,999,3.31
0,0,999,999,3.45
999,999,999,999,3.50
1999,1000,999,999,3.08
999,999,999,999,3.48
999,999,999,999,3.45
1999,1000,999,999,3.30
2999,2000,999,999,3.06
2999,2000,999,999,3.09
3999,3000,0,0,3.16
2999,2000,999,999,3.25
2999,2000,999,999,3.01
999,999,999,999,3.59
